metric,unit,difference_definition,favourable_direction,interpretation_rule
lat95_mean_ms,milliseconds,"A minus B (e.g. G30_vs_P30 = G30 - P30)",lower is better (less latency),"Report as ms. CI crossing 0 = 'no clear difference detected in this dataset'; never 'no difference exists'. Never call a CI-crossing-0 result 'significant' or 'significant improvement' -- no p-value test was run."
lat95_p95_ms,milliseconds,A minus B,lower is better,"Same rule as lat95_mean_ms. This is the p95-of-the-per-run-p95-series (tail-of-tail), report as a separate, stricter latency figure from lat95_mean_ms, not interchangeably."
slo_violation_rate,fraction (0.0-1.0),A minus B,lower is better,"0.030 means 3.0 percentage points (3% of samples exceeded the 200ms SLO), NOT 0.03%. Always state 'fraction' or convert explicitly to '%' with the correct decimal shift. SLO threshold = 200ms lat95, frozen, unchanged."
replica_seconds,replica-seconds (trapezoidal integral of replica count over run duration, seconds),A minus B,lower is better (less resource cost),"A positive diff means A used MORE resource-seconds than B over the run. Not a cost-in-currency metric -- a proxy for cluster resource consumption only."
replicas_peak,count (integer, max observed replicas in the run),A minus B or descriptive,lower is better (less resource cost),"Bounded above by max_replicas=6 -- most arms/blocks reach the ceiling; treat 'peak=6' as 'reached the configured ceiling', not as an unbounded maximum."
time_at_max_replicas_frac,fraction (0.0-1.0) of run duration spent at replicas==max_replicas(6),A minus B,lower is better (less time pinned at ceiling),"0.047 means 4.7 percentage points of run time, NOT 0.047%. Distinct from replicas_peak (a count) -- this is a duration fraction."
scale_changes,count (integer, number of replica-count changes during the run),context-dependent (not simply lower=better),"lower may indicate more stability, but zero is not automatically 'best' -- a policy that never scales in a spike-traffic test may simply be unresponsive.","Report descriptively; do not assign a favourable direction without qualifying against latency/resource outcomes."
cpu_util_mean,fraction relative to the container's CPU REQUEST (200m), NOT the CPU limit (1000m),A minus B or descriptive,context-dependent,"Values >1.0 are expected (bursting above the 200m request, still under the 1000m limit) -- NOT an error. Different denominator from the admission-probe CPU%% (band [15.9,36.3]%%, relative to the 1000m limit) -- never conflate the two in thesis text."
rps_mean,requests per second (Prometheus-derived, cloud tier),descriptive,not inherently favourable in either direction,"Reflects achieved throughput during the run, not a target-hitting metric for formal cells (unlike the admission probe's fixed 125 RPS target)."
paired_effect_size,dimensionless (mean of paired diffs / SD of paired diffs -- paired-sample analogue of Cohen's d),n/a,farther from 0 = larger effect,"Sign follows the same A-minus-B convention as the diff itself. This is NOT Cohen's d in the two-independent-samples sense -- it is a paired-differences analogue, frozen definition in experiments/cumulative_analysis.py::paired_diff. Magnitude bands (small/medium/large) from independent-samples Cohen's d conventions do not directly transfer; report the number, avoid unqualified 'small/medium/large' labels."
bootstrap_ci,"95% CI, percentile bootstrap on the MEAN of paired block differences, resampling whole blocks with replacement",n/a,CI excluding 0 = direction is consistent across resamples at this dataset size,"Seed=20260710, n_resamples=10000, frozen and unchanged. 'CI crosses zero' must be reported as 'inconclusive at this sample size', never omitted or downplayed. No p-value was computed anywhere in this analysis -- do not write 'p<0.05' or 'statistically significant' for any result here."
admission_p95_ms / admission_cpu_pct,"ms / percent of the 1000m CPU LIMIT (admission-probe specific, calibration_lib.compute_probe_cpu_pct)",n/a,within the frozen band = admission PASS,"This is a SEPARATE metric pipeline from the formal-cell metrics above (different CPU denominator, different measurement window -- 45s fixed probe vs full spike-traffic run). Never merge admission-probe numbers into the arm-performance tables; report only in the execution/admission summary."
